year,S08000015,S08000016,S08000017,S08000018,S08000019,S08000020,S08000021,S08000022,S08000023,S08000024,S08000025,S08000026,S08000027,S08000028
2013,29,7,29,23,46,111,428,25,62,242,-1,-1,52,0,1056
2014,36,10,22,31,55,159,549,28,70,336,0,0,66,0,1362
2015,58,-1,24,67,86,227,705,25,90,495,0,-1,106,-1,1891
2016,59,5,9,73,78,188,647,36,72,472,-1,0,109,-1,1750
2017,57,16,15,90,82,143,715,38,130,579,-1,-1,85,0,1953
